review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
1,54,24,3,Very good,Product is fine but delivery was slow.,false,37,2024-07-16
2,27,134,5,Recommended,"Exceeded my expectations, highly recommend.",true,46,2024-12-09
3,39,67,3,Could be better,"Exceeded my expectations, highly recommend.",false,19,2026-01-17
4,70,306,5,Could be better,"Exceeded my expectations, highly recommend.",false,34,2024-03-12
5,74,110,3,Very good,Excellent value for money.,false,49,2025-06-22
6,78,131,5,Satisfied,Product is fine but delivery was slow.,true,1,2024-01-04
7,34,197,2,Could be better,Excellent value for money.,true,3,2026-02-14
8,27,60,5,Excellent product,Arrived on time and in perfect condition.,true,25,2024-02-14
9,7,44,4,Satisfied,Arrived on time and in perfect condition.,true,25,2023-02-26
10,66,334,2,Not so good,"Exceeded my expectations, highly recommend.",false,9,2025-05-06
11,65,276,4,Satisfied,Very good quality for the price.,false,17,2024-01-17
12,64,241,1,Good quality,"Exceeded my expectations, highly recommend.",false,35,2023-12-10
13,86,112,2,Recommended,Product is fine but delivery was slow.,false,19,2026-01-15
14,79,166,5,Very good,Did not meet my expectations.,true,6,2024-11-09
15,88,334,2,Satisfied,Does what it promises.,false,43,2026-02-07
16,2,34,1,Could be better,"Exceeded my expectations, highly recommend.",true,19,2025-03-26
17,42,122,1,Recommended,Excellent value for money.,false,12,2023-05-21
18,70,12,4,Could be better,Did not meet my expectations.,false,4,2023-03-27
19,4,86,3,Satisfied,Very good quality for the price.,true,47,2026-01-14
20,56,179,2,Satisfied,Very good quality for the price.,true,31,2026-01-26
21,60,79,1,Meets expectations,Good but expected a bit more.,false,28,2024-12-07
22,64,322,3,Not so good,Very good quality for the price.,true,39,2024-07-11
23,6,245,3,Could be better,Good but expected a bit more.,false,0,2024-05-21
24,82,220,1,Satisfied,Does what it promises.,true,24,2023-09-30
25,97,147,2,Recommended,Arrived on time and in perfect condition.,false,23,2024-02-22
26,40,125,5,Meets expectations,Good but expected a bit more.,false,36,2026-01-01
27,42,284,1,Excellent product,Product is fine but delivery was slow.,true,23,2024-01-02
28,23,235,3,Recommended,Did not meet my expectations.,true,31,2024-06-28
29,73,134,3,Very good,Product is fine but delivery was slow.,false,0,2024-06-15
30,13,102,4,Good quality,Excellent value for money.,true,23,2025-11-30
31,15,151,5,Good quality,Product is fine but delivery was slow.,false,24,2023-10-28
32,20,119,4,Recommended,Arrived on time and in perfect condition.,false,48,2025-06-01
33,53,14,1,Excellent product,Arrived on time and in perfect condition.,false,26,2025-02-24
34,67,56,5,Very good,Good but expected a bit more.,true,20,2024-03-29
35,75,252,3,Excellent product,Good but expected a bit more.,true,39,2024-05-30
36,7,245,2,Could be better,Arrived on time and in perfect condition.,true,1,2023-05-31
37,70,241,5,Excellent product,Arrived on time and in perfect condition.,true,49,2024-09-24
38,56,239,2,Could be better,Does what it promises.,true,46,2025-07-02
39,32,11,2,Recommended,Arrived on time and in perfect condition.,true,0,2023-07-22
40,20,175,2,Very good,Does what it promises.,false,3,2025-08-22
41,97,105,5,Excellent product,Very good quality for the price.,true,19,2024-12-16
42,44,139,3,Satisfied,Arrived on time and in perfect condition.,true,46,2025-10-16
43,81,8,3,Excellent product,Does what it promises.,true,11,2024-02-11
44,11,131,1,Not so good,"Exceeded my expectations, highly recommend.",true,14,2026-02-01
45,22,212,5,Good quality,"Exceeded my expectations, highly recommend.",true,41,2024-05-02
46,89,107,4,Could be better,Good but expected a bit more.,true,29,2025-07-28
47,20,231,4,Satisfied,Excellent value for money.,true,19,2025-04-10
48,25,211,4,Excellent product,Product is fine but delivery was slow.,false,19,2025-04-27
49,57,173,5,Could be better,Does what it promises.,true,28,2024-08-15
50,12,236,4,Recommended,Arrived on time and in perfect condition.,true,1,2025-04-14
51,5,29,4,Good quality,Very good quality for the price.,true,23,2024-05-29
52,67,95,1,Satisfied,Product is fine but delivery was slow.,true,27,2026-03-05
53,50,83,3,Meets expectations,Product is fine but delivery was slow.,true,0,2023-08-06
54,98,212,5,Not so good,Did not meet my expectations.,true,31,2023-05-16
55,13,143,3,Good quality,Product is fine but delivery was slow.,true,45,2024-10-08
56,80,32,2,Satisfied,Does what it promises.,true,9,2026-02-18
